item_name_di,dot_structure_di,item_type_rp_di,item_type_hm_di,cat_1_di,cat_1_name_di,comment_di,cat_2_di,no_show_di
._dotfiles,rp>hm,folder,folder_sym,term,Terminal,~/._dotfiles/._dotfiles_srb_repo,dotfile mgmt,FALSE
.zshrc,rp>hm,file,file_sym,term,Terminal,,zshrc,FALSE
.ABCD_TEST123,rp>hm,file,file_sym,term,Terminal,,zshrc,FALSE
.AB_TEST_EDGE,rp>hm,folder,folder_sym,term,Terminal,(tp_item_type should be [NO FILETYPE]).,zshrc,FALSE
.zsh_history,hm_only,file,file_sym,term,Terminal,,zshrc,FALSE
.zshrc_aliases,rp>hm,file,file_sym,term,Terminal,,zshrc,FALSE
.zshrc_scripts,rp>hm,file,file_sym,term,Terminal,,zshrc,FALSE
.zshrc_themes_omp,rp>hm,file,file_sym,term,Terminal,,zshrc,FALSE
.zshrc_autocomplete1,rp>hm,file,file_sym,term,Terminal,,zshrc,FALSE
.zprofile,rp>hm,file,file_sym,term,Terminal,zsh profile file,zsh other,FALSE
.zcompdump-srb_mbp23-5.9,rp>hm,file,file_sym,term,Terminal,zsh completion dump file,zsh other,FALSE
.zsh_sessions,rp>hm,folder,folder_sym,term,Terminal,Command history and state from previous zsh sessions,zsh other,FALSE
.zcompdump,rp>hm,file,file_sym,term,Terminal,,zsh other,FALSE
.zcompdump-srb_mbp23-5.9.zwc,rp>hm,file,file_sym,term,Terminal,,zsh other,FALSE
.oh-my-posh,rp>hm,folder,folder_sym,term,Terminal,,zsh themes,FALSE
.bashrc,rp>hm,file,file_sym,term,Terminal,,bash,FALSE
.bash_history,rp>hm,file,file_sym,term,Terminal,,bash,FALSE
.bash_sessions,rp>hm,folder,folder_sym,term,Terminal,Command history and state from previous bash sessions,bash,FALSE
.sh_history,rp>hm,file,file_sym,term,Terminal,Shell history file,bash,FALSE
.iterm2_shell_integration.zsh,rp>hm,file,file_sym,term,Terminal,iTerm2 shell integration file,other,FALSE
.iterm2,rp>hm,folder,folder_sym,term,Terminal,iTerm2 configuration files,other,FALSE
.viminfo,hm_only,file,file_sym,term,Terminal,,other,FALSE
.npm,rp>hm,folder,folder_sym,swd,Software Development,Node.js package manager,package managers plus,FALSE
.npmrc,rp>hm,file,file_sym,swd,Software Development,Node.js package manager configuration file,package managers plus,FALSE
.nvm,rp>hm,folder,folder_sym,swd,Software Development,Node.js version manager,package managers plus,FALSE
.yarnrc,rp>hm,file,file_sym,swd,Software Development,Yarn package manager,package managers plus,FALSE
.node-gyp,rp>hm,folder,folder_sym,swd,Software Development,Node.js native addon build tool,package managers plus,FALSE
.docker,rp>hm,folder,folder_sym,swd,Software Development,Docker containerization platform,package managers plus,FALSE
.gem,rp>hm,folder,folder_sym,swd,Software Development,Ruby Gems (Ruby libraries and packages),package managers plus,FALSE
.vuerc,rp>hm,file,file_sym,swd,Software Development,Vue.js configuration file,frameworks,FALSE
.vue-cli-ui,rp>hm,folder,folder_sym,swd,Software Development,Vue.js CLI User Interface config,frameworks,FALSE
.nuxtrc,rp>hm,file,file_sym,swd,Software Development,Nuxt.js configuration file,frameworks,FALSE
.python_history,rp>hm,file,file_sym,swd,Software Development,,python,FALSE
.pyenv,rp>hm,folder,folder_sym,swd,Software Development,Python version manager,python,FALSE
.ipython,rp>hm,folder,folder_sym,swd,Software Development,Python interactive shell,python,FALSE
.pylint.d,rp>hm,folder,folder_sym,swd,Software Development,Python linting tool,python,FALSE
