item_name_di,item_type_rp_di,cat_1_di,cat_1_name_di,comment_di,cat_2_di,item_type_hm_di,no_show_di,dot_items_fs
._dotfiles,folder,term,Terminal,~/._dotfiles/._dotfiles_srb_repo,dotfile mgmt,folder_sym,FALSE,
.zshrc,file,term,Terminal,,zshrc,file_sym,FALSE,
.ABCD_TEST123,file,term,Terminal,,zshrc,file_sym,FALSE,
.AB_TEST_EDGE,folder,term,Terminal,(tp_item_type should be [NO FILETYPE]).,zshrc,folder_sym,FALSE,
.zsh_history,file,term,Terminal,,zshrc,file_sym,FALSE,hm_only
.zshrc_aliases,file,term,Terminal,,zshrc,file_sym,FALSE,
.zshrc_scripts,file,term,Terminal,,zshrc,file_sym,FALSE,
.zshrc_themes_omp,file,term,Terminal,,zshrc,file_sym,FALSE,
.zshrc_autocomplete1,file,term,Terminal,,zshrc,file_sym,FALSE,
.zprofile,file,term,Terminal,zsh profile file,zsh other,file_sym,FALSE,
.zcompdump-srb_mbp23-5.9,file,term,Terminal,zsh completion dump file,zsh other,file_sym,FALSE,
.zsh_sessions,folder,term,Terminal,Command history and state from previous zsh sessions,zsh other,folder_sym,FALSE,
.zcompdump,file,term,Terminal,,zsh other,file_sym,FALSE,
.zcompdump-srb_mbp23-5.9.zwc,file,term,Terminal,,zsh other,file_sym,FALSE,
.oh-my-posh,folder,term,Terminal,,zsh themes,folder_sym,FALSE,
.bashrc,file,term,Terminal,,bash,file_sym,FALSE,
.bash_history,file,term,Terminal,,bash,file_sym,FALSE,
.bash_sessions,folder,term,Terminal,Command history and state from previous bash sessions,bash,folder_sym,FALSE,
.sh_history,file,term,Terminal,Shell history file,bash,file_sym,FALSE,
.iterm2_shell_integration.zsh,file,term,Terminal,iTerm2 shell integration file,other,file_sym,FALSE,
.iterm2,folder,term,Terminal,iTerm2 configuration files,other,folder_sym,FALSE,
.viminfo,file,term,Terminal,,other,file_sym,FALSE,hm_only
.npm,folder,swd,Software Development,Node.js package manager,package managers plus,folder_sym,FALSE,
.npmrc,file,swd,Software Development,Node.js package manager configuration file,package managers plus,file_sym,FALSE,
.nvm,folder,swd,Software Development,Node.js version manager,package managers plus,folder_sym,FALSE,
.yarnrc,file,swd,Software Development,Yarn package manager,package managers plus,file_sym,FALSE,
.node-gyp,folder,swd,Software Development,Node.js native addon build tool,package managers plus,folder_sym,FALSE,
.docker,folder,swd,Software Development,Docker containerization platform,package managers plus,folder_sym,FALSE,
.gem,folder,swd,Software Development,Ruby Gems (Ruby libraries and packages),package managers plus,folder_sym,FALSE,
.vuerc,file,swd,Software Development,Vue.js configuration file,frameworks,file_sym,FALSE,
.vue-cli-ui,folder,swd,Software Development,Vue.js CLI User Interface config,frameworks,folder_sym,FALSE,
.nuxtrc,file,swd,Software Development,Nuxt.js configuration file,frameworks,file_sym,FALSE,
.python_history,file,swd,Software Development,,python,file_sym,FALSE,
.pyenv,folder,swd,Software Development,Python version manager,python,folder_sym,FALSE,
.ipython,folder,swd,Software Development,Python interactive shell,python,folder_sym,FALSE,
.pylint.d,folder,swd,Software Development,Python linting tool,python,folder_sym,FALSE,
.matplotlib,folder,swd,Software Development,Python plotting library,python,folder_sym,FALSE,
.streamlit,folder,swd,Software Development,Python framework for creating interactive web apps,python,folder_sym,FALSE,
.jupyter,folder,swd,Software Development,Python interactive computing,python,folder_sym,FALSE,
.vscode,folder,swd,Software Development,,microsoft,folder_sym,FALSE,
.vscode-react-native,folder,swd,Software Development,Visual Studio Code extension for React Native,microsoft,folder_sym,FALSE,
.dotnet,folder,swd,Software Development,.NET SDK,microsoft,folder_sym,FALSE,
.nuget,folder,swd,Software Development,.NET package manager,microsoft,folder_sym,FALSE,
.mono,folder,swd,Software Development,Mono runtime (cross-platform .NET),microsoft,folder_sym,FALSE,
